condition,experiment_id,meta_round,behavioral_distance,structural_similarity,valid_behavior_pairs,valid_structure_pairs,total_pairs
OPF,exp_021,1,0.293879,0.33264,10,10,10
OPF,exp_021,2,0.309383,0.433744,10,10,10
OPF,exp_021,3,0.296691,0.449973,10,10,10
OPF,exp_022,1,0.313662,0.350884,10,10,10
OPF,exp_022,2,0.388806,0.377794,10,10,10
OPF,exp_022,3,0.399224,0.437173,10,10,10
OPF,exp_023,1,0.348892,0.331875,10,10,10
OPF,exp_023,2,0.301757,0.374413,10,10,10
OPF,exp_023,3,0.284303,0.390714,10,10,10
OPF,exp_024,1,0.308541,0.298258,10,10,10
OPF,exp_024,2,0.30843,0.405245,10,10,10
OPF,exp_024,3,0.318563,0.45844,10,10,10
OPF,exp_025,1,0.297452,0.360823,10,10,10
OPF,exp_025,2,0.333696,0.443618,10,10,10
OPF,exp_025,3,0.379209,0.416596,10,10,10
OPF,exp_026,1,0.291429,0.301295,10,10,10
OPF,exp_026,2,0.267846,0.35118,10,10,10
OPF,exp_026,3,0.292731,0.4274,10,10,10
OPF,exp_027,1,0.33139,0.286677,10,10,10
OPF,exp_027,2,0.371851,0.403524,10,10,10
OPF,exp_027,3,0.348983,0.384711,10,10,10
OPF,exp_028,1,0.279856,0.294558,10,10,10
OPF,exp_028,2,0.343232,0.306816,10,10,10
OPF,exp_028,3,0.221185,0.438677,10,10,10
OPF,exp_029,1,0.281765,0.322144,10,10,10
OPF,exp_029,2,0.278355,0.397382,10,10,10
OPF,exp_029,3,0.187807,0.425701,10,10,10
OPF,exp_030,1,0.26247,0.288542,10,10,10
OPF,exp_030,2,0.354342,0.23226,10,10,10
OPF,exp_030,3,0.22626,0.422715,10,10,10
OPF,exp_031,1,0.244289,0.325504,10,10,10
OPF,exp_031,2,0.238905,0.397792,10,10,10
OPF,exp_031,3,0.271993,0.407833,10,10,10
OPF,exp_032,1,0.291346,0.360263,10,10,10
OPF,exp_032,2,0.237037,0.413775,10,10,10
OPF,exp_032,3,0.246634,0.430998,10,10,10
OPF,exp_033,1,0.30347,0.292753,10,10,10
OPF,exp_033,2,0.311073,0.41536,10,10,10
OPF,exp_033,3,0.281949,0.425348,10,10,10
OPF,exp_034,1,0.23416,0.311188,10,10,10
OPF,exp_034,2,0.229057,0.419758,10,10,10
OPF,exp_034,3,0.229181,0.450957,10,10,10
OPF,exp_035,1,0.289747,0.32842,10,10,10
OPF,exp_035,2,0.199753,0.403761,10,10,10
OPF,exp_035,3,0.211561,0.469175,10,10,10
OPF,exp_036,1,0.303874,0.271745,10,10,10
OPF,exp_036,2,0.300498,0.379646,10,10,10
OPF,exp_036,3,0.24782,0.44934,10,10,10
OPF,exp_037,1,0.326704,0.306998,10,10,10
OPF,exp_037,2,0.215746,0.377058,10,10,10
OPF,exp_037,3,0.226131,0.428997,10,10,10
OPF,exp_038,1,0.268843,0.288362,10,10,10
OPF,exp_038,2,0.19879,0.395689,10,10,10
OPF,exp_038,3,0.184099,0.410197,10,10,10
OPF,exp_039,1,0.313536,0.27244,10,10,10
OPF,exp_039,2,0.289233,0.414675,10,10,10
OPF,exp_039,3,0.292591,0.422495,10,10,10
OPF,exp_040,1,0.311618,0.316518,10,10,10
OPF,exp_040,2,0.246784,0.389243,10,10,10
OPF,exp_040,3,0.220355,0.370864,10,10,10
OPF,exp_041,1,0.253069,0.288005,10,10,10
OPF,exp_041,2,0.306265,0.377723,10,10,10
OPF,exp_041,3,0.286849,0.411607,10,10,10
OPF,exp_042,1,0.326676,0.283392,10,10,10
OPF,exp_042,2,0.232341,0.382827,10,10,10
OPF,exp_042,3,0.253339,0.406216,10,10,10
OPF,exp_043,1,0.219567,0.352925,10,10,10
OPF,exp_043,2,0.188618,0.420891,10,10,10
OPF,exp_043,3,0.208738,0.400429,10,10,10
OPF,exp_044,1,0.210332,0.284346,10,10,10
OPF,exp_044,2,0.20737,0.400724,10,10,10
OPF,exp_044,3,0.28163,0.411244,10,10,10
OPF,exp_045,1,0.275101,0.335843,10,10,10
OPF,exp_045,2,0.23659,0.395471,10,10,10
OPF,exp_045,3,0.28488,0.429551,10,10,10
OPF,exp_046,1,0.294959,0.338915,10,10,10
OPF,exp_046,2,0.230849,0.469164,10,10,10
OPF,exp_046,3,0.313248,0.276698,10,10,10
OPF,exp_047,1,0.294862,0.342761,10,10,10
OPF,exp_047,2,0.283065,0.411872,10,10,10
OPF,exp_047,3,0.242453,0.443361,10,10,10
OPF,exp_048,1,0.321866,0.330271,10,10,10
OPF,exp_048,2,0.311887,0.455214,10,10,10
OPF,exp_048,3,0.274259,0.436769,10,10,10
OPF,exp_049,1,0.31613,0.331425,10,10,10
OPF,exp_049,2,0.259511,0.404817,10,10,10
OPF,exp_049,3,0.270445,0.428571,10,10,10
OPF,exp_050,1,0.364701,0.282004,10,10,10
